,Compound,Date,Negative,Neutral,Positive,User,text
49,0.0,Wed Dec 27 17:00:13 +0000 2017,1.0,0.0,0.0,@Marvel,50 days. #BlackPanther https://t.co/b426tL9IMB
50,0.0,Wed Dec 27 01:45:00 +0000 2017,1.0,0.0,0.0,@Marvel,Would you have what it takes to be an ally of the #BlackPanther? Editor @MightyBrunstad breaks down what T'Challa l… https://t.co/3KWlJ3XBjG
51,-0.8225,Wed Dec 27 01:00:19 +0000 2017,0.734,0.266,0.0,@Marvel,"The Black Widow is gone...so who is killing her enemies? Hawkeye and the Winter Soldier team up to find out in ""Tal… https://t.co/FXt4IM8AtQ"
52,0.0,Wed Dec 27 00:15:00 +0000 2017,1.0,0.0,0.0,@Marvel,Mace Windu leads the Jedi against a marauding alien race in the latest #StarWars Spotlight on… https://t.co/73ZMJOFY85
53,0.0,Tue Dec 26 21:15:00 +0000 2017,1.0,0.0,0.0,@Marvel,"""#XMen: Blue"" writer @cullenbunn talks about the team’s trip to the past and encounter with the old school Magneto… https://t.co/dr6VOl64Et"
54,0.5574,Tue Dec 26 17:45:20 +0000 2017,0.847,0.0,0.153,@Marvel,"Where is Kamala Khan? Red Dagger, Jersey City's newest hero, attempts to carry on Ms. Marvel's legacy in ""Ms. Marve… https://t.co/LNUdyfDNKR"
55,0.0,Tue Dec 26 17:00:03 +0000 2017,1.0,0.0,0.0,@Marvel,"Time for another sacrifice. Watch an all-new episode of ""Marvel's @Runaways"" now, only on Hulu. https://t.co/umf1Q5ZKOo"
56,0.4753,Mon Dec 25 17:00:06 +0000 2017,0.829,0.0,0.171,@Marvel,"A king will rise. Watch the brand-new spot for Marvel Studios’ #BlackPanther, in theaters February 16! https://t.co/1VUD9fsnqb"
57,0.0,Sun Dec 24 20:00:01 +0000 2017,1.0,0.0,0.0,@Marvel,Get cozy with some hot cocoa and listen to a new episode of the #ThisWeekInMarvel podcast: https://t.co/8xTSHkT0oE
58,0.0,Sun Dec 24 17:00:04 +0000 2017,1.0,0.0,0.0,@Marvel,ICYMI: Watch cosplayers Andrea Alexander of A² Cosplay? and @Ashlynne_Dae? transform into Thor and Loki on the late… https://t.co/nCvVqHMilR
59,0.8542,Sun Dec 24 15:00:23 +0000 2017,0.299,0.0,0.701,@Marvel,Season's Greetings! More holiday goodness: https://t.co/OOxqZ64wDZ https://t.co/gB6KTgH9jY
60,0.0,Sat Dec 23 23:00:21 +0000 2017,1.0,0.0,0.0,@Marvel,"Who's behind the hive of giant bees? It's up to Kid Kaiju and Scragg to find out in ""Monsters Unleashed"" #9, availa… https://t.co/G8guuQDabe"
61,0.296,Sat Dec 23 20:00:04 +0000 2017,0.885,0.0,0.115,@Marvel,"ICYMI: Join @LorraineCink, @AgentM, and @JamesArthur_M as they recap all the epic 2017 releases, moments, and more… https://t.co/jXQn3L2Z5n"
62,0.3595,Sat Dec 23 17:00:01 +0000 2017,0.858,0.0,0.142,@Marvel,ICYMI: Join the #WomenOfMarvel for their 2017 year-end review on the latest podcast episode! Listen: https://t.co/xoe1j53iOa
63,0.3182,Sat Dec 23 13:00:18 +0000 2017,0.897,0.0,0.103,@Marvel,"The original team reunites to take down Monet in ""Generation X"" #85, available digitally or at your local comic sho… https://t.co/qM6d7bJq4t"
64,0.4926,Sat Dec 23 06:05:55 +0000 2017,0.842,0.0,0.158,@Marvel,"Thanks for tweeting with us, Agents! ""Marvel's #AgentsOfSHIELD"" will be back with a new episode on Friday, January… https://t.co/ijqwky7iRF"
65,0.0,Sat Dec 23 05:59:59 +0000 2017,1.0,0.0,0.0,@Marvel,"Rise and shine, Fitz. #AgentsOfSHIELD https://t.co/dblnh8lykz"
66,0.0,Sat Dec 23 05:56:17 +0000 2017,1.0,0.0,0.0,@Marvel,"Wait, we've heard those lines before... #AgentsOfSHIELD https://t.co/hxgWECt9FJ"
67,0.0,Sat Dec 23 05:53:57 +0000 2017,1.0,0.0,0.0,@Marvel,"RT @AgentsofSHIELD: “I need a cleaning crew.” 

? 

#AgentsofSHIELD"
68,0.6239,Sat Dec 23 05:49:19 +0000 2017,0.55,0.0,0.45,@Marvel,"Zephyr One, you're a beauty! #AgentsOfSHIELD https://t.co/0YtdBPplaj"
69,0.0,Sat Dec 23 05:46:20 +0000 2017,1.0,0.0,0.0,@Marvel,RT @raspiras8: ???? Lance with that accent! #AgentsofSHIELD
70,0.0,Sat Dec 23 05:40:36 +0000 2017,1.0,0.0,0.0,@Marvel,"RT @AgentsofSHIELD: Eight words = Everything. 
#FitzSimmons 
#AgentsofSHIELD https://t.co/g0uf1dd2uv"
71,0.0,Sat Dec 23 05:34:03 +0000 2017,1.0,0.0,0.0,@Marvel,We've got company. #AgentsOfSHIELD https://t.co/0bzoMtKbCR
72,0.0,Sat Dec 23 05:24:21 +0000 2017,1.0,0.0,0.0,@Marvel,"RT @AgentsofSHIELD: “This speaks of the future. They were needed there.” - Enoch 
#AgentsofSHIELD https://t.co/D9mviFTuwE"
73,-0.3595,Sat Dec 23 05:21:10 +0000 2017,0.828,0.172,0.0,@Marvel,RT @ItsChristineEM: “It’s even got cloaking.” ?? Hunter you have been missed! #AgentsofSHIELD
74,0.4767,Sat Dec 23 05:18:30 +0000 2017,0.721,0.0,0.279,@Marvel,First order of business? Hug it out. #AgentsOfSHIELD https://t.co/9dpXj69CPf
75,0.5106,Sat Dec 23 05:13:11 +0000 2017,0.752,0.0,0.248,@Marvel,Who's this familiar dapper gentleman coming to Fitz's rescue? ? #AgentsOfSHIELD https://t.co/EHLh6sZEIg
76,0.631,Sat Dec 23 05:06:26 +0000 2017,0.794,0.0,0.206,@Marvel,"That moment when you try to claim responsibility for the situation, but all your friends disappear...… https://t.co/C4so8F1VYB"
77,0.4199,Sat Dec 23 04:45:00 +0000 2017,0.883,0.0,0.117,@Marvel,"West Coast Agents, are you ready for a NEW episode of ""Marvel's #AgentsOfSHIELD"" on ABC? Tweet along with us starting in 15 minutes!"
78,0.0,Sat Dec 23 02:00:01 +0000 2017,1.0,0.0,0.0,@Marvel,“The Mighty Thor” artist @RDauterman sinks his teeth into Mangog! More on https://t.co/2gXkrpswTj: https://t.co/m9vkhocjTu
79,0.743,Sat Dec 23 01:15:24 +0000 2017,0.73,0.0,0.27,@Marvel,"Squirrel Girl needs help from the new Sorcerer Supreme in ""The Unbeatable Squirrel Girl"" #27, available digitally o… https://t.co/7lKDPG81WV"
80,0.5719,Fri Dec 22 23:45:00 +0000 2017,0.748,0.0,0.252,@Marvel,Celebrate #FlashbackFriday with our look back at the debut of Nightcrawler: https://t.co/zq76Ds3rqp
81,0.7003,Fri Dec 22 23:00:02 +0000 2017,0.688,0.0,0.312,@Marvel,Less than 10 days to join @MarkRuffalo and other fellow @Avengers in supporting The Solutions Project with… https://t.co/rJd3lMrRSm
82,0.0,Fri Dec 22 22:15:00 +0000 2017,1.0,0.0,0.0,@Marvel,"Nick Blood chats with https://t.co/2gXkrpswTj on Lance Hunter's return to ""Marvel's @AgentsofSHIELD""! Read more: https://t.co/UfKoMgZsjZ"
83,0.0,Fri Dec 22 21:30:26 +0000 2017,1.0,0.0,0.0,@Marvel,Here's a peek at the new comics hitting shelves next week! https://t.co/JeyT2XOgNN
84,0.69,Fri Dec 22 20:45:01 +0000 2017,0.711,0.0,0.289,@Marvel,Marvel Studios' #BlackPanther graces the subscriber cover of @EmpireMagazine! The issue hits newsstands December 28… https://t.co/qcYf2v0z4t
85,-0.0516,Fri Dec 22 20:24:18 +0000 2017,0.766,0.12,0.113,@Marvel,"When your friends get abducted by aliens, it's time to call for some backup. Catch the return of Lance Hunter to ""M… https://t.co/1WU5Jgc3FR"
86,0.0,Fri Dec 22 19:15:00 +0000 2017,1.0,0.0,0.0,@Marvel,Look back at the wrap of the King’s “Fantastic Four” run in today’s #Kirby100 on https://t.co/2gXkrpswTj! Read more: https://t.co/4gLtFjljGO
87,0.4753,Fri Dec 22 18:30:01 +0000 2017,0.564,0.139,0.297,@Marvel,"Lose yourself in the Marvel library this holiday season! Browse a few highlights here: 
https://t.co/Tfxda1lI0s"
88,0.0516,Fri Dec 22 17:45:00 +0000 2017,0.909,0.0,0.091,@Marvel,"Our look at #SpiderMan’s history on https://t.co/2gXkrpswTj reaches the rise of Carnage: 
https://t.co/gpgG5SXZu6"
89,-0.5267,Fri Dec 22 17:00:20 +0000 2017,0.804,0.196,0.0,@Marvel,"The Weapon X team takes on a platoon of Super-Soldiers in ""Weapon X"" #12, available digitally or at your local comi… https://t.co/deFNmhX9Zx"
90,0.4753,Fri Dec 22 16:15:02 +0000 2017,0.866,0.0,0.134,@Marvel,"Shop the Massive Marvel Sale and get up to 80% off best-selling titles, collections, and more! Browse the Digital C… https://t.co/Iqoj8vpKt8"
91,-0.2023,Fri Dec 22 15:28:50 +0000 2017,0.87,0.13,0.0,@Marvel,“Doctor Strange” writer @DonCates weighs the similarities between Stephen Strange and Loki: https://t.co/pmBOJA5zcr
92,0.0,Thu Dec 21 23:45:41 +0000 2017,1.0,0.0,0.0,@Marvel,Go down swinging with Spider-Man as he faces off against the Green Goblin in a story ten years in the making! ?? Co… https://t.co/uyGaXmuqlT
93,0.0,Thu Dec 21 23:00:01 +0000 2017,1.0,0.0,0.0,@Marvel,"Learn more about the debut of Black Panther, Loki, and more familiar faces you can meet on Disney Cruise Line’s… https://t.co/c87m2rVrO7"
94,0.4404,Thu Dec 21 21:30:00 +0000 2017,0.828,0.0,0.172,@Marvel,"It’s a good old-fashioned “Champions” membership drive, and artist @humberto_ramos has a sneak peek for us: https://t.co/WEK7XvV0q9"
95,-0.7351,Thu Dec 21 20:45:00 +0000 2017,0.482,0.373,0.145,@Marvel,Comic writer @VictorGischler primes heaven and hell for war in “Spirits of Vengeance”: https://t.co/zVUlNFiGZJ
96,0.0,Thu Dec 21 20:00:02 +0000 2017,1.0,0.0,0.0,@Marvel,Cosplayers Andrea Alexander of A² Cosplay? and @Ashlynne_Dae? face off as Thor and Loki on a new episode of… https://t.co/gIcttqkq5Y
97,0.0,Thu Dec 21 19:00:01 +0000 2017,1.0,0.0,0.0,@Marvel,#Hulk and Namor team up to take on the Avengers in today’s #Kirby100 on https://t.co/2gXkrpswTj: https://t.co/jSCxB6Mlvo
98,0.75,Thu Dec 21 17:37:06 +0000 2017,0.709,0.0,0.291,@Marvel,This mighty #Thor-inspired mocktail will transport you back to summer! ? Want the chance to win your own set of Mar… https://t.co/yObb8cjaMs
99,0.636,Thu Dec 21 17:06:19 +0000 2017,0.782,0.0,0.218,@Marvel,RT @MarvelGames: The magnificent M.O.D.O.K. makes his way to Battlerealm to compete in @MarvelChampions! https://t.co/VENed17Nv7 https://t.…
