,Compound,Date,Negative,Neutral,Positive,User,text
49,0.4939,Sat Dec 30 19:00:54 +0000 2017,0.826,0.0,0.174,@realDonaldTrump,"The entire world understands that the good people of Iran want change, and, other than the vast military power of t… https://t.co/oJmf2sgH6y"
50,0.3182,Sat Dec 30 03:42:58 +0000 2017,0.779,0.082,0.139,@realDonaldTrump,Many reports of peaceful protests by Iranian citizens fed up with regime’s corruption &amp; its squandering of the nati… https://t.co/bL9JMWQ6bZ
51,-0.0041,Fri Dec 29 13:16:11 +0000 2017,0.813,0.094,0.093,@realDonaldTrump,"The Democrats have been told, and fully understand, that there can be no DACA without the desperately needed WALL a… https://t.co/sjkgrE1kQe"
52,0.2263,Fri Dec 29 13:04:09 +0000 2017,0.717,0.104,0.179,@realDonaldTrump,"Why is the United States Post Office, which is losing many billions of dollars a year, while charging Amazon and ot… https://t.co/fHKlK5bmUe"
53,0.4019,Fri Dec 29 12:50:17 +0000 2017,0.891,0.0,0.109,@realDonaldTrump,"RT @charliekirk11: Incredible video: @CBS does a special on the GOP tax plan 

The result?

Every middle class family they sat down with SA…"
54,0.0,Fri Dec 29 12:50:00 +0000 2017,1.0,0.0,0.0,@realDonaldTrump,"RT @charliekirk11: ISIS getting slaughtered: 

Square miles liberated from ISIS
Trump: 26,000 --  Obama: 13,200

Total Square miles held by…"
55,0.4404,Fri Dec 29 12:48:57 +0000 2017,0.868,0.0,0.132,@realDonaldTrump,"RT @FoxBusiness: .@charliekirk11: ""What this president has done is truly historic, and if a Democrat president achieved 1/10th of what @POT…"
56,0.5719,Fri Dec 29 12:48:15 +0000 2017,0.856,0.0,0.144,@realDonaldTrump,"RT @charliekirk11: 3 big wins in 2017 you won't hear:

Trump confirmed the most circuit court judges ever in a President's 1st year (all co…"
57,0.3818,Fri Dec 29 12:46:23 +0000 2017,0.571,0.186,0.243,@realDonaldTrump,"While the Fake News loves to talk about my so-called low approval rating, @foxandfriends just showed that my rating… https://t.co/u3cMWTck6M"
58,0.4404,Fri Dec 29 00:01:47 +0000 2017,0.892,0.0,0.108,@realDonaldTrump,"In the East, it could be the COLDEST New Year’s Eve on record. Perhaps we could use a little bit of that good old G… https://t.co/tCjF8xdXep"
59,0.729,Thu Dec 28 23:14:21 +0000 2017,0.61,0.0,0.39,@realDonaldTrump,"Together, we are MAKING AMERICA GREAT AGAIN! https://t.co/OeyTdFyl1Q https://t.co/wdLQkfdy4m"
60,0.0,Thu Dec 28 22:17:55 +0000 2017,1.0,0.0,0.0,@realDonaldTrump,"RT @realDonaldTrump: “Arrests of MS-13 Members, Associates Up 83% Under Trump” 
https://t.co/70iPHy2Yqn"
61,0.8221,Thu Dec 28 22:17:36 +0000 2017,0.592,0.0,0.408,@realDonaldTrump,"RT @DanScavino: Congratulations to the 2017 @PinstripeBowl (Yankee Stadium) Champions, Iowa @HawkeyeFootball! https://t.co/NlaWU6bKmH"
62,0.0,Thu Dec 28 22:17:06 +0000 2017,1.0,0.0,0.0,@realDonaldTrump,"RT @EricTrump: #ThrowbackThursdays 
@realDonaldTrump ?????? https://t.co/Z44IObGZ7V"
63,0.1221,Thu Dec 28 22:16:29 +0000 2017,0.928,0.0,0.072,@realDonaldTrump,RT @IvankaTrump: “The Trump economy is booming.” One thing @realDonaldTrump “has done that has received little attention despite arguably d…
64,0.0,Thu Dec 28 19:20:47 +0000 2017,1.0,0.0,0.0,@realDonaldTrump,"I've been saying it for a long, long time. #NoKo https://t.co/LQl7tGhMdO"
65,-0.5256,Thu Dec 28 16:24:08 +0000 2017,0.855,0.145,0.0,@realDonaldTrump,Caught RED HANDED - very disappointed that China is allowing oil to go into North Korea. There will never be a frie… https://t.co/aIa4CFXNoA
66,0.4926,Thu Dec 28 16:18:20 +0000 2017,0.868,0.0,0.132,@realDonaldTrump,Retail sales are at record numbers. We’ve got the economy going better than anyone ever dreamt - and you haven’t seen anything yet!
67,0.3818,Thu Dec 28 15:24:53 +0000 2017,0.704,0.119,0.178,@realDonaldTrump,"Vanity Fair, which looks like it is on its last legs, is bending over backwards in apologizing for the minor hit th… https://t.co/Sx6AmzfKRp"
68,0.0,Thu Dec 28 02:46:30 +0000 2017,1.0,0.0,0.0,@realDonaldTrump,"“Arrests of MS-13 Members, Associates Up 83% Under Trump” 
https://t.co/70iPHy2Yqn"
69,-0.0516,Thu Dec 28 02:09:22 +0000 2017,0.941,0.059,0.0,@realDonaldTrump,"“On 1/20 - the day Trump was inaugurated - an estimated 35,000 ISIS fighters held approx 17,500 square miles of ter… https://t.co/xnR1mXhmr3"
70,0.7184,Wed Dec 27 23:11:13 +0000 2017,0.682,0.078,0.24,@realDonaldTrump,Just left West Palm Beach Fire &amp; Rescue #2. Met with great men and women as representatives of those who do so much… https://t.co/UK0Q7BUKbj
71,0.2716,Tue Dec 26 22:17:14 +0000 2017,0.806,0.077,0.117,@realDonaldTrump,"All signs are that business is looking really good for next year, only to be helped further by our Tax Cut Bill. Wi… https://t.co/f37VETYLej"
72,0.6739,Tue Dec 26 13:24:27 +0000 2017,0.799,0.0,0.201,@realDonaldTrump,"WOW, @foxandfrlends  “Dossier is bogus. Clinton Campaign, DNC funded Dossier. FBI CANNOT (after all of this time) V… https://t.co/3Lv4EhnuwV"
73,-0.5256,Tue Dec 26 11:58:42 +0000 2017,0.861,0.139,0.0,@realDonaldTrump,Based on the fact that the very unfair and unpopular Individual Mandate has been terminated as part of our Tax Cut… https://t.co/sZ3YczC3mR
74,0.9022,Mon Dec 25 23:33:55 +0000 2017,0.619,0.0,0.381,@realDonaldTrump,"I hope everyone is having a great Christmas, then tomorrow it’s back to work in order to Make America Great Again (… https://t.co/JJ2tiWwe9V"
75,0.4939,Mon Dec 25 23:28:51 +0000 2017,0.878,0.0,0.122,@realDonaldTrump,RT @EricTrump: We should all take a moment to say a prayer for those who paid the ultimate price  — Their bravery and sacrifice allows us t…
76,0.7277,Mon Dec 25 13:36:51 +0000 2017,0.281,0.0,0.719,@realDonaldTrump,MERRY CHRISTMAS!!! https://t.co/mYtV5GNdLl
77,0.7019,Mon Dec 25 03:51:52 +0000 2017,0.293,0.0,0.707,@realDonaldTrump,MERRY CHRISTMAS!! https://t.co/xa2qxcisVV
78,0.7096,Mon Dec 25 02:56:19 +0000 2017,0.585,0.117,0.298,@realDonaldTrump,People are proud to be saying Merry Christmas again. I am proud to have led the charge against the assault of our c… https://t.co/TDmO0lcYHA
79,0.0,Sun Dec 24 20:35:26 +0000 2017,1.0,0.0,0.0,@realDonaldTrump,"The Tax Cut/Reform Bill, including Massive Alaska Drilling and the Repeal of the highly unpopular Individual Mandat… https://t.co/KgKnGzK6md"
80,-0.1027,Sun Dec 24 13:48:11 +0000 2017,0.625,0.194,0.181,@realDonaldTrump,The Fake News refuses to talk about how Big and how Strong our BASE is. They show Fake Polls just like they report… https://t.co/hNmVwpHtM1
81,0.4738,Sun Dec 24 12:31:48 +0000 2017,0.694,0.0,0.306,@realDonaldTrump,RT @shawgerald4: @realDonaldTrump Thank you President TRUMP!! https://t.co/LKdkT0FL99
82,0.0,Sun Dec 24 12:25:22 +0000 2017,1.0,0.0,0.0,@realDonaldTrump,".@FoxNews-FBI’s Andrew McCabe, “in addition to his wife getting all of this money from M (Clinton Puppet), he was u… https://t.co/fRprD7LwtJ"
83,-0.4019,Sat Dec 23 22:57:50 +0000 2017,0.876,0.124,0.0,@realDonaldTrump,"Remember, the Republicans are 5-0 in Congressional races this year. In Senate, I said Roy M would lose in Alabama a… https://t.co/5IMirkPYFR"
84,-0.2111,Sat Dec 23 22:44:45 +0000 2017,0.688,0.191,0.121,@realDonaldTrump,The Stock Market is setting record after record and unemployment is at a 17 year low. So many things accomplished b… https://t.co/bctmAtxwb2
85,0.5859,Sat Dec 23 20:32:42 +0000 2017,0.678,0.0,0.322,@realDonaldTrump,"Wow, “FBI lawyer James Baker reassigned,” according to @FoxNews."
86,0.5386,Sat Dec 23 20:30:06 +0000 2017,0.83,0.0,0.17,@realDonaldTrump,FBI Deputy Director Andrew McCabe is racing the clock to retire with full benefits. 90 days to go?!!!
87,0.0,Sat Dec 23 20:27:05 +0000 2017,1.0,0.0,0.0,@realDonaldTrump,"How can FBI Deputy Director Andrew McCabe, the man in charge, along with leakin’ James Comey, of the Phony Hillary… https://t.co/9vYPo8QMbI"
88,0.0,Sat Dec 23 20:03:39 +0000 2017,1.0,0.0,0.0,@realDonaldTrump,RT @EricTrump: #JournalismIsDead  https://t.co/xZaJD5ADb7
89,-0.7645,Fri Dec 22 22:11:56 +0000 2017,0.752,0.248,0.0,@realDonaldTrump,"Remember, the most hated part of ObamaCare is the Individual Mandate, which is being terminated under our just signed Tax Cut Bill."
90,0.6561,Fri Dec 22 20:47:43 +0000 2017,0.662,0.097,0.241,@realDonaldTrump,"Today, it was my great honor to sign the largest TAX CUTS and reform in the history of our country. Full remarks:… https://t.co/1plwmP1SX9"
91,0.9305,Fri Dec 22 20:47:15 +0000 2017,0.534,0.0,0.466,@realDonaldTrump,"The United Nations Security Council just voted 15-0 in favor of additional Sanctions on North Korea. The World wants Peace, not Death!"
92,0.8636,Fri Dec 22 18:40:29 +0000 2017,0.663,0.0,0.337,@realDonaldTrump,"Congressman Ron DeSantis is a brilliant young leader, Yale and then Harvard Law, who would make a GREAT Governor of… https://t.co/T3T1ayf1Vh"
93,-0.6403,Fri Dec 22 16:46:49 +0000 2017,0.763,0.192,0.045,@realDonaldTrump,"95% of Americans will pay less or, at worst, the same amount of taxes (mostly far less). The Dems only want to raise your taxes!"
94,-0.2732,Fri Dec 22 15:07:55 +0000 2017,0.913,0.087,0.0,@realDonaldTrump,Will be signing the biggest ever Tax Cut and Reform Bill in 30 minutes in Oval Office. Will also be signing a much… https://t.co/fgGbqDb0wg
95,-0.128,Fri Dec 22 15:04:39 +0000 2017,0.914,0.086,0.0,@realDonaldTrump,"With all my Administration has done on Legislative Approvals (broke Harry Truman’s Record), Regulation Cutting, Jud… https://t.co/CukTyBYh5K"
96,0.6597,Fri Dec 22 14:17:04 +0000 2017,0.759,0.0,0.241,@realDonaldTrump,“The President has accomplished some absolutely historic things during this past year.” Thank you Charlie Kirk of T… https://t.co/M7G4m0QqmO
97,0.4404,Fri Dec 22 13:05:06 +0000 2017,0.873,0.0,0.127,@realDonaldTrump,"At some point, and for the good of the country, I predict we will start working with the Democrats in a Bipartisan… https://t.co/YVl8tAcSOk"
98,0.5244,Fri Dec 22 12:50:42 +0000 2017,0.371,0.0,0.629,@realDonaldTrump,So true! https://t.co/1c8hu6O5t9
99,0.1851,Fri Dec 22 12:47:51 +0000 2017,0.801,0.086,0.113,@realDonaldTrump,Our big and very popular Tax Cut and Reform Bill has taken on an unexpected new source of “love” - that is big comp… https://t.co/jnCQYxYQBh
